表,指标,EG_T0_均值,EG_T0_SD,EG_T2_均值,EG_T2_SD,CG_T0_均值,CG_T0_SD,CG_T2_均值,CG_T2_SD
表1 稳定性与可复用性,课堂故障率(%),18.1,6.3,6.2,3.4,17.4,5.9,13.9,5.2
表1 稳定性与可复用性,切换时长(分钟),6.7,1.5,2.3,0.9,6.5,1.6,5.2,1.4
表1 稳定性与可复用性,脚本可复用率(%),31.0,9.2,82.4,11.5,28.6,8.5,36.1,10.3
表2 学习成效,报告结构化评分(0-100),62.4,8.7,78.1,7.9,63.1,8.4,68.0,8.1
表2 学习成效,不确定度表达质量(0-4),1.23,0.52,3.08,0.46,1.27,0.49,1.92,0.58
表2 学习成效,概念小测(0-20),10.4,2.1,15.8,2.0,10.2,2.0,12.6,2.3
表3 教师发展,TPACK自评(1-5),2.82,0.41,3.92,0.48,2.89,0.45,3.12,0.42
表3 教师发展,同伴观察(0-4),1.9,0.5,3.2,0.4,1.9,0.5,2.4,0.5
表3 教师发展,教案-实施一致性(%),58.2,10.5,87.6,8.1,59.1,9.8,66.2,9.4
