Table,Metric,EG_T0_Mean,EG_T0_SD,EG_T2_Mean,EG_T2_SD,CG_T0_Mean,CG_T0_SD,CG_T2_Mean,CG_T2_SD
Table 1 Stability & Reusability,Failure Rate (%),18.1,6.3,6.2,3.4,17.4,5.9,13.9,5.2
Table 1 Stability & Reusability,Switch Time (min),6.7,1.5,2.3,0.9,6.5,1.6,5.2,1.4
Table 1 Stability & Reusability,Script Reusability (%),31.0,9.2,82.4,11.5,28.6,8.5,36.1,10.3
Table 2 Learning Outcomes,Structured Report Score (0-100),62.4,8.7,78.1,7.9,63.1,8.4,68.0,8.1
Table 2 Learning Outcomes,Uncertainty Quality (0-4),1.23,0.52,3.08,0.46,1.27,0.49,1.92,0.58
Table 2 Learning Outcomes,Concept Quiz (0-20),10.4,2.1,15.8,2.0,10.2,2.0,12.6,2.3
Table 3 Teacher Growth,TPACK Self-rating (1-5),2.82,0.41,3.92,0.48,2.89,0.45,3.12,0.42
Table 3 Teacher Growth,Peer Observation (0-4),1.9,0.5,3.2,0.4,1.9,0.5,2.4,0.5
Table 3 Teacher Growth,Lesson-Implementation Consistency (%),58.2,10.5,87.6,8.1,59.1,9.8,66.2,9.4
