Metric,EG_gain,CG_gain,SD_gain_EG,SD_gain_CG,pooled_SD_gain,d_gain,CI95_low,CI95_high,t_stat,df
Structured Report Score (0-100),15.699999999999996,4.899999999999999,8.328865468957941,8.254089895318563,8.2915619758885,1.3025290085759385,1.1337268305149009,1.471331186636976,16.655063112240885,652
Uncertainty Quality (0-4),1.85,0.6499999999999999,0.49274739979019677,0.5406477596365309,0.5172523562053634,2.3199507660117207,2.12157746158333,2.5183240704401113,29.66454195708158,652
Concept Quiz (0-20),5.4,2.4000000000000004,2.0518284528683193,2.1656407827707715,2.109502310972899,1.4221363894199315,1.2505139796721685,1.5937587991676945,18.184448226530566,652
